"GEO_ID","NAME","P012A001","P012A002","P012A003","P012A004","P012A005","P012A006","P012A007","P012A008","P012A009","P012A010","P012A011","P012A012","P012A013","P012A014","P012A015","P012A016","P012A017","P012A018","P012A019","P012A020","P012A021","P012A022","P012A023","P012A024","P012A025","P012A026","P012A027","P012A028","P012A029","P012A030","P012A031","P012A032","P012A033","P012A034","P012A035","P012A036","P012A037","P012A038","P012A039","P012A040","P012A041","P012A042","P012A043","P012A044","P012A045","P012A046","P012A047","P012A048","P012A049"
"id","Geographic Area Name","Total","Total!!Male","Total!!Male!!Under 5 years","Total!!Male!!5 to 9 years","Total!!Male!!10 to 14 years","Total!!Male!!15 to 17 years","Total!!Male!!18 and 19 years","Total!!Male!!20 years","Total!!Male!!21 years","Total!!Male!!22 to 24 years","Total!!Male!!25 to 29 years","Total!!Male!!30 to 34 years","Total!!Male!!35 to 39 years","Total!!Male!!40 to 44 years","Total!!Male!!45 to 49 years","Total!!Male!!50 to 54 years","Total!!Male!!55 to 59 years","Total!!Male!!60 and 61 years","Total!!Male!!62 to 64 years","Total!!Male!!65 and 66 years","Total!!Male!!67 to 69 years","Total!!Male!!70 to 74 years","Total!!Male!!75 to 79 years","Total!!Male!!80 to 84 years","Total!!Male!!85 years and over","Total!!Female","Total!!Female!!Under 5 years","Total!!Female!!5 to 9 years","Total!!Female!!10 to 14 years","Total!!Female!!15 to 17 years","Total!!Female!!18 and 19 years","Total!!Female!!20 years","Total!!Female!!21 years","Total!!Female!!22 to 24 years","Total!!Female!!25 to 29 years","Total!!Female!!30 to 34 years","Total!!Female!!35 to 39 years","Total!!Female!!40 to 44 years","Total!!Female!!45 to 49 years","Total!!Female!!50 to 54 years","Total!!Female!!55 to 59 years","Total!!Female!!60 and 61 years","Total!!Female!!62 to 64 years","Total!!Female!!65 and 66 years","Total!!Female!!67 to 69 years","Total!!Female!!70 to 74 years","Total!!Female!!75 to 79 years","Total!!Female!!80 to 84 years","Total!!Female!!85 years and over"
"1000000US370630001012018","Block 2018, Block Group 2, Census Tract 1.01, Durham County, North Carolina","17","10","1","2","0","0","0","0","0","1","2","1","0","0","1","1","0","0","0","0","0","1","0","0","0","7","1","0","0","0","0","0","0","0","3","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"1000000US370630001012019","Block 2019, Block Group 2, Census Tract 1.01, Durham County, North Carolina","13","7","1","0","0","0","0","0","0","2","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","1","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US370630001012021","Block 2021, Block Group 2, Census Tract 1.01, Durham County, North Carolina","4","3","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1000000US370630001012000","Block 2000, Block Group 2, Census Tract 1.01, Durham County, North Carolina","146","69","4","3","14","2","1","1","0","4","5","2","6","9","3","4","3","0","0","0","3","2","0","1","2","77","1","6","6","4","1","0","0","0","5","3","6","3","6","7","9","1","2","2","3","2","0","7","3"
"1000000US370630001012005","Block 2005, Block Group 2, Census Tract 1.01, Durham County, North Carolina","7","6","2","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US370630001012013","Block 2013, Block Group 2, Census Tract 1.01, Durham County, North Carolina","8","6","0","1","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"1000000US370630001012014","Block 2014, Block Group 2, Census Tract 1.01, Durham County, North Carolina","15","7","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","2","0","0","0","8","0","1","0","0","0","0","0","0","0","1","0","2","1","0","0","0","1","0","1","0","0","1","0"
"1000000US370630001012009","Block 2009, Block Group 2, Census Tract 1.01, Durham County, North Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US370630001012001","Block 2001, Block Group 2, Census Tract 1.01, Durham County, North Carolina","35","15","0","1","1","0","0","0","0","0","0","3","3","3","2","0","0","0","1","0","0","1","0","0","0","20","2","0","1","0","0","0","0","0","2","2","1","2","1","0","0","0","2","1","0","3","2","0","1"
"1000000US370630001012007","Block 2007, Block Group 2, Census Tract 1.01, Durham County, North Carolina","30","12","1","0","0","0","0","0","0","0","0","1","2","0","3","1","0","0","1","0","1","1","1","0","0","18","2","0","1","2","1","0","0","0","0","3","2","0","0","1","2","1","1","1","0","1","0","0","0"
"1000000US370630001012008","Block 2008, Block Group 2, Census Tract 1.01, Durham County, North Carolina","22","10","1","0","1","1","0","0","0","0","0","3","0","2","0","1","0","0","1","0","0","0","0","0","0","12","1","0","0","0","0","1","0","0","2","2","0","1","0","2","0","0","1","1","0","0","0","1","0"
"1000000US370630001012015","Block 2015, Block Group 2, Census Tract 1.01, Durham County, North Carolina","5","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
"1000000US370630001012016","Block 2016, Block Group 2, Census Tract 1.01, Durham County, North Carolina","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
